row_id,phone_number_hash,area_code,carrier_id,user_region,timestamp,call_duration_seconds,answered,call_frequency_24h,call_frequency_7d,spoofing_signal,complaint_count_7d,complaint_count_30d,known_business,business_verified,known_scam_cluster,blocklist_match,allowlist_match,first_seen_days_ago,risk_score,risk_label,high_risk_binary
40,58af04acccb66e87,900,carrier_tmobile,US-PA,2026-05-08T08:17:00,289,1,5,16,0,0,2,1,0,0,0,0,555,0.15,Safe,0
41,cedd2f58f43416c9,704,carrier_tmobile,US-IL,2026-05-11T14:56:00,107,1,13,58,0,2,0,0,0,0,0,0,131,0.35,Unknown,0
42,8f870f40e88d6965,888,carrier_sprint,US-TX,2026-05-01T08:18:00,517,1,1,2,0,0,0,0,0,0,0,0,306,0.35,Safe,0
43,7532cb4749b13799,614,carrier_tmobile,US-NY,2026-05-10T14:14:00,479,1,4,11,0,0,1,1,1,0,0,0,623,0.0,Safe,0
44,f480e54e437c922c,713,carrier_unknown,US-OH,2026-05-10T09:53:00,0,0,15,33,0,1,3,0,0,0,0,0,157,0.35,Unknown,0
45,eb8c6cf59fb2f550,614,carrier_att,US-CA,2026-05-01T15:30:00,517,1,0,17,0,0,0,1,0,0,0,0,189,0.15,Safe,0
46,b33305047892f313,313,carrier_voip_002,US-MI,2026-05-10T08:15:00,14,1,57,394,1,22,145,0,0,1,0,0,10,1.0,High Risk,1
47,62c45f62e6e8a414,800,carrier_sprint,US-NY,2026-05-04T12:40:00,0,0,17,183,0,9,24,0,0,0,0,0,16,0.45,Suspicious,1
48,59034db20d206413,305,carrier_tmobile,US-MI,2026-05-10T20:04:00,252,1,1,17,0,0,0,1,1,0,0,0,541,0.0,Safe,0
49,c06dd192dd5d7e70,215,carrier_att,US-NY,2026-05-02T11:50:00,0,0,6,64,0,0,8,1,0,0,0,0,75,0.15,Unknown,0
50,3f9aa7dc888fea1d,900,carrier_tmobile,US-FL,2026-05-09T06:05:00,0,0,2,12,0,0,1,1,1,0,0,1,100,0.02,Safe,0
51,c517df86eb63e11b,614,carrier_sprint,US-OH,2026-05-16T08:30:00,0,0,15,32,0,3,8,0,0,0,0,0,53,0.45,Unknown,0
52,09b65def2b6883de,876,carrier_tmobile,US-NC,2026-05-09T16:07:00,16,1,5,52,0,3,7,0,0,0,0,0,147,0.45,Unknown,0
53,61d65451f982f594,215,carrier_sprint,US-PA,2026-05-07T14:35:00,0,0,10,188,1,10,23,0,0,0,0,0,18,0.75,Suspicious,1
54,e9216cc6c7a566c3,215,carrier_verizon,US-FL,2026-05-04T20:07:00,110,1,5,19,0,0,0,0,0,0,0,0,74,0.35,Safe,0
55,eb8697199aee3f2c,614,carrier_verizon,US-NC,2026-05-03T14:49:00,210,1,2,13,0,0,1,0,0,0,0,1,624,0.02,Safe,0
56,36772bf235fd2575,215,carrier_sprint,US-OH,2026-05-18T21:22:00,0,0,0,9,0,0,2,1,1,0,0,0,561,0.0,Safe,0
57,03695cfdf9308c62,704,carrier_voip_002,US-MI,2026-05-13T10:31:00,0,0,32,111,1,12,22,0,0,1,0,0,26,1.0,Suspicious,1
58,450ea7dde89884c8,313,carrier_verizon,US-GA,2026-05-03T21:50:00,0,0,0,14,0,0,0,1,1,0,0,0,479,0.0,Safe,0
59,6eb00fc5aa59bd32,713,carrier_att,US-NY,2026-05-03T13:40:00,0,0,8,78,0,3,5,0,0,0,0,0,131,0.45,Unknown,0
60,4bde770f66c5c667,404,carrier_att,US-CA,2026-05-11T07:18:00,0,0,0,20,0,0,2,0,0,0,0,0,366,0.35,Safe,0
61,d93d025e5fd4d919,215,carrier_verizon,US-FL,2026-05-16T10:14:00,406,1,3,18,0,0,2,0,0,0,0,1,140,0.02,Safe,0
62,f4bac7de3e9e3ada,713,carrier_tmobile,US-GA,2026-05-14T14:29:00,0,0,15,69,0,2,10,1,0,0,0,0,95,0.15,Unknown,0
63,6b018d29c848429e,313,carrier_voip_002,US-PA,2026-05-09T06:36:00,0,0,13,110,1,9,28,0,0,0,0,0,3,0.75,Suspicious,1
64,a25b3c29f61f6821,212,carrier_unknown,US-MI,2026-05-04T07:19:00,0,0,38,123,1,15,35,0,0,1,0,0,9,1.0,Suspicious,1
65,5ee56a74840b1296,305,carrier_tmobile,US-PA,2026-05-17T22:58:00,0,0,1,2,0,0,1,1,1,0,0,1,612,0.02,Safe,0
66,3b0a1e2ce411ea86,212,carrier_voip_001,US-FL,2026-05-18T17:05:00,0,0,62,323,0,22,99,0,0,1,0,0,10,1.0,High Risk,1
67,721ba07464fddf18,313,carrier_att,US-TX,2026-05-08T21:01:00,395,1,3,11,0,0,2,0,0,0,0,1,450,0.02,Safe,0
68,5bddf6eab3755d1d,404,carrier_att,US-PA,2026-05-04T13:56:00,68,1,13,69,0,2,10,1,0,0,0,0,16,0.15,Unknown,0
69,b7734526f069f3e6,215,carrier_sprint,US-PA,2026-05-09T07:44:00,516,1,5,17,0,0,1,1,1,0,0,0,730,0.0,Safe,0
70,981c5e08222d2584,212,carrier_unknown,US-OH,2026-05-15T08:42:00,0,0,71,200,1,58,87,0,0,0,0,0,6,1.0,High Risk,1
71,1800080ad6366220,415,carrier_tmobile,US-NC,2026-05-05T06:17:00,253,1,1,18,0,0,0,1,1,0,0,1,281,0.02,Safe,0
72,e6581e24d143cc21,888,carrier_tmobile,US-GA,2026-05-01T11:16:00,258,1,1,3,0,0,2,0,0,0,0,1,426,0.02,Safe,0
73,bd75eabe95310254,404,carrier_tmobile,US-NY,2026-05-15T06:03:00,59,1,5,2,0,0,1,1,1,0,0,0,522,0.0,Safe,0
74,a50224ffea6e37d4,313,carrier_tmobile,US-GA,2026-05-13T22:18:00,576,1,3,2,0,0,0,1,1,0,0,1,699,0.02,Safe,0
75,c85bcbfe059442d1,614,carrier_sprint,US-GA,2026-05-11T20:25:00,248,1,5,3,0,0,2,1,1,0,0,0,280,0.0,Safe,0
76,76159f9dc40e3447,800,carrier_tmobile,US-NY,2026-05-05T07:37:00,113,1,2,11,0,0,0,1,1,0,0,1,147,0.02,Safe,0
77,c36c7d3b070f5614,876,carrier_verizon,US-NC,2026-05-16T13:54:00,232,1,5,13,0,0,2,1,1,0,0,0,166,0.0,Safe,0
78,16152683058b060d,614,carrier_att,US-OH,2026-05-09T06:11:00,585,1,2,18,0,0,0,0,0,0,0,0,696,0.35,Safe,0
79,52cb2d5401577fb3,614,carrier_verizon,US-FL,2026-05-13T19:29:00,558,1,1,18,0,0,2,1,1,0,0,0,91,0.0,Safe,0
80,39de6380e62418aa,305,carrier_voip_001,US-TX,2026-05-14T21:38:00,61,1,15,20,0,0,2,0,0,0,0,0,179,0.35,Unknown,0
81,0cdc9a998ed07948,713,carrier_unknown,US-CA,2026-05-13T07:00:00,0,0,13,138,1,9,13,0,0,0,0,0,24,0.65,Suspicious,1
82,c479e7cee49cac25,404,carrier_voip_001,US-IL,2026-05-03T18:55:00,0,0,19,133,0,4,10,0,0,1,0,0,20,0.7,Suspicious,1
83,1257a527880a6cc3,312,carrier_tmobile,US-GA,2026-05-06T20:53:00,36,1,0,10,0,0,2,1,1,0,0,0,356,0.0,Safe,0
84,625060433bd98f78,704,carrier_unknown,US-TX,2026-05-03T22:40:00,54,1,17,161,0,12,22,0,0,0,0,0,13,0.55,Suspicious,1
85,3f02e1934266a4ad,215,carrier_voip_002,US-MI,2026-05-03T11:49:00,0,0,69,329,1,56,144,0,0,1,1,0,2,0.98,High Risk,1
86,7f7e1f297b7767c0,614,carrier_voip_002,US-NC,2026-05-15T15:50:00,9,1,24,194,0,13,30,0,0,0,0,0,13,0.65,Suspicious,1
87,0e8b26973d72446c,614,carrier_sprint,US-MI,2026-05-15T07:28:00,534,1,3,14,0,0,0,1,0,0,0,1,152,0.02,Safe,0
88,abfe24c7c84ad5d1,313,carrier_att,US-CA,2026-05-08T20:28:00,191,1,1,1,0,0,1,1,0,0,0,0,146,0.15,Safe,0
89,4fe9bbcceca997b0,305,carrier_att,US-FL,2026-05-11T09:35:00,357,1,2,12,0,0,1,0,0,0,0,0,113,0.35,Safe,0
90,2575d154bf1a6414,305,carrier_voip_001,US-NC,2026-05-13T10:38:00,88,1,13,29,0,2,1,1,0,0,0,0,96,0.15,Unknown,0
91,ca8338dd8706858a,614,carrier_tmobile,US-PA,2026-05-01T17:19:00,448,1,2,4,0,0,2,0,0,0,0,0,599,0.35,Safe,0
92,f0e6df6031f2232f,415,carrier_att,US-CA,2026-05-11T10:38:00,554,1,1,4,0,0,0,1,1,0,0,0,612,0.0,Safe,0
93,a97e8b1fd1648b26,876,carrier_voip_002,US-TX,2026-05-08T13:19:00,0,0,34,92,1,14,24,0,0,0,0,0,17,0.85,Suspicious,1
94,8e08bbdee5981d7d,876,carrier_verizon,US-OH,2026-05-05T14:03:00,180,1,4,14,0,0,1,0,0,0,0,0,574,0.35,Safe,0
95,534e5541d82da464,614,carrier_verizon,US-IL,2026-05-14T08:58:00,0,0,4,76,1,0,4,1,0,0,0,0,122,0.35,Unknown,0
96,2eb9565890edd9f6,888,carrier_tmobile,US-CA,2026-05-05T10:02:00,116,1,3,16,0,0,1,1,0,0,0,0,88,0.15,Safe,0
97,9aa3f474a841bdb8,212,carrier_voip_002,US-TX,2026-05-04T15:15:00,0,0,25,164,0,12,10,1,0,1,0,0,7,0.75,Suspicious,1
98,7b9aa73940aefa6c,713,carrier_verizon,US-MI,2026-05-10T19:00:00,262,1,4,14,0,0,0,1,0,0,0,0,76,0.15,Safe,0
99,63575621736f3347,614,carrier_att,US-FL,2026-05-13T21:02:00,534,1,5,2,0,0,2,0,0,0,0,1,598,0.02,Safe,0
100,4565da7849cde03c,876,carrier_tmobile,US-CA,2026-05-05T07:22:00,0,0,8,18,0,2,3,0,0,0,0,0,155,0.35,Unknown,0
101,25bc9f0a05bc4185,212,carrier_sprint,US-OH,2026-05-10T12:02:00,0,0,31,168,0,14,25,0,0,1,0,0,27,0.9,Suspicious,1
102,3d62436350ad38cf,404,carrier_unknown,US-GA,2026-05-11T14:07:00,0,0,90,353,1,49,100,0,0,0,1,0,5,0.98,High Risk,1
103,f7b9482d896bb16e,704,carrier_voip_001,US-FL,2026-05-14T08:27:00,15,1,9,53,0,1,7,0,0,0,0,0,139,0.35,Unknown,0
104,c6644d46231d65f6,800,carrier_sprint,US-IL,2026-05-02T17:39:00,374,1,0,10,0,0,2,1,1,0,0,0,230,0.0,Safe,0
105,30a2ac53dc13d7a7,614,carrier_att,US-GA,2026-05-05T08:15:00,463,1,5,12,0,0,1,1,1,0,0,1,91,0.02,Safe,0
106,a642f4bb3364fe28,713,carrier_voip_002,US-NY,2026-05-12T18:20:00,0,0,29,459,1,24,126,0,0,1,0,0,1,1.0,High Risk,1
107,9d70208ff4995fca,215,carrier_tmobile,US-CA,2026-05-16T12:07:00,234,1,1,15,0,0,2,1,1,0,0,1,326,0.02,Safe,0
108,a89a59ec0f6e52cd,900,carrier_voip_001,US-OH,2026-05-10T11:45:00,39,1,24,72,0,15,31,0,0,0,0,0,25,0.65,Suspicious,1
109,33cdb1425ae6d69b,704,carrier_verizon,US-GA,2026-05-03T08:19:00,579,1,0,6,0,0,0,1,1,0,0,0,646,0.0,Safe,0
110,4db6026dd619ade2,704,carrier_unknown,US-IL,2026-05-18T11:49:00,0,0,36,197,0,4,14,0,0,0,0,0,24,0.55,Suspicious,1
111,31dcba87b033c7f8,415,carrier_sprint,US-FL,2026-05-09T12:40:00,0,0,26,89,1,7,15,0,0,1,0,0,19,1.0,Suspicious,1
112,794529bcc4bb7902,312,carrier_unknown,US-IL,2026-05-11T07:52:00,0,0,4,74,0,1,9,1,0,0,0,0,175,0.15,Unknown,0
113,c0d9195cf769668b,305,carrier_voip_002,US-PA,2026-05-10T15:30:00,0,0,98,285,0,56,66,0,0,1,0,0,7,1.0,High Risk,1
114,0750a5448f352fd2,704,carrier_tmobile,US-NY,2026-05-13T10:48:00,341,1,0,5,0,0,1,1,1,0,0,0,207,0.0,Safe,0
115,be962abb222ea1bd,713,carrier_sprint,US-CA,2026-05-08T11:52:00,0,0,3,3,0,0,1,1,1,0,0,1,453,0.02,Safe,0
116,a7810485f8980c89,212,carrier_sprint,US-FL,2026-05-08T12:37:00,0,0,4,14,0,0,1,0,0,0,0,0,152,0.35,Safe,0
117,a2469fac49ad518f,614,carrier_tmobile,US-NC,2026-05-02T18:03:00,427,1,5,15,0,0,1,1,0,0,0,0,330,0.15,Safe,0
118,e57bd8af4f581c43,704,carrier_verizon,US-OH,2026-05-04T18:23:00,136,1,3,16,0,0,1,0,0,0,0,1,698,0.02,Safe,0
119,4bcae0d3a8986b26,415,carrier_voip_002,US-GA,2026-05-05T22:08:00,0,0,16,180,1,9,26,1,0,0,0,0,28,0.45,Suspicious,1
120,2463bd87aa79313a,313,carrier_unknown,US-FL,2026-05-12T16:43:00,0,0,63,453,0,36,104,0,0,1,0,0,4,1.0,High Risk,1
121,9ab8e13030ecc597,415,carrier_sprint,US-TX,2026-05-19T21:10:00,0,0,33,56,1,12,25,0,0,0,0,0,21,0.85,Suspicious,1
122,a7fc374865e50ccd,800,carrier_att,US-PA,2026-05-05T22:13:00,497,1,5,3,0,0,0,1,1,0,0,1,268,0.02,Safe,0
123,702fc57d823b2f29,713,carrier_sprint,US-FL,2026-05-07T13:17:00,285,1,2,5,0,0,1,0,0,0,0,0,422,0.35,Safe,0
124,6fdf31c60da7248a,900,carrier_voip_001,US-CA,2026-05-04T18:57:00,0,0,32,103,0,14,32,0,0,0,0,0,28,0.65,Suspicious,1
125,0f654e91e64d4b40,713,carrier_tmobile,US-IL,2026-05-18T14:08:00,566,1,2,2,0,0,1,0,0,0,0,0,550,0.35,Safe,0
126,a1be7743c0335506,215,carrier_verizon,US-TX,2026-05-01T11:26:00,103,1,11,38,0,1,0,0,0,0,0,0,127,0.35,Unknown,0
127,7a0e5b22448ac1c8,212,carrier_sprint,US-GA,2026-05-06T19:56:00,0,0,19,132,1,7,30,0,0,0,0,0,10,0.65,Suspicious,1
128,5aa5f01af79b6294,900,carrier_voip_002,US-NY,2026-05-05T22:29:00,46,1,15,124,1,3,10,0,0,0,0,0,13,0.65,Suspicious,1
129,f87383ed0af09858,404,carrier_verizon,US-NY,2026-05-13T19:32:00,212,1,5,14,0,0,2,1,1,0,0,0,362,0.0,Safe,0
130,b042c9834a0b9d32,888,carrier_tmobile,US-TX,2026-05-10T06:16:00,288,1,1,15,0,0,1,0,0,0,0,1,452,0.02,Safe,0
131,20898c8c415a27d6,215,carrier_tmobile,US-MI,2026-05-08T13:08:00,317,1,0,14,0,0,1,1,1,0,0,0,378,0.0,Safe,0
132,eb9ffa3ece9235ba,212,carrier_sprint,US-NC,2026-05-17T17:04:00,98,1,5,17,0,0,1,0,0,0,0,0,283,0.35,Safe,0
133,c2f712ae5271b1bb,900,carrier_voip_002,US-IL,2026-05-16T08:57:00,0,0,50,443,1,49,59,0,0,0,0,0,10,1.0,High Risk,1
134,e9fb65fb03626ba8,404,carrier_tmobile,US-OH,2026-05-01T12:37:00,420,1,4,13,0,0,1,1,1,0,0,0,375,0.0,Safe,0
135,96c7883334504daa,876,carrier_voip_001,US-GA,2026-05-14T17:57:00,0,0,11,17,1,0,7,0,0,0,0,0,41,0.55,Unknown,0
136,5f37095feae794b7,704,carrier_verizon,US-GA,2026-05-01T06:19:00,145,1,5,17,0,0,0,1,1,0,0,1,610,0.02,Safe,0
137,0019c7830dcce015,313,carrier_voip_002,US-IL,2026-05-01T13:13:00,47,1,17,167,1,8,14,0,0,0,0,0,6,0.7,Suspicious,1
138,3d8d1857ac49793e,313,carrier_verizon,US-MI,2026-05-17T15:14:00,72,1,5,1,0,0,0,0,0,0,0,0,299,0.35,Safe,0
139,11b8ce64f00ff3cd,704,carrier_sprint,US-PA,2026-05-18T11:40:00,0,0,36,132,0,6,19,0,0,0,0,0,16,0.55,Suspicious,1
140,c5c0a5f090eb3f9a,305,carrier_verizon,US-CA,2026-05-18T21:15:00,400,1,2,20,0,0,2,1,1,0,0,0,478,0.0,Safe,0
141,4366d214171d6696,212,carrier_sprint,US-FL,2026-05-15T17:05:00,26,1,39,64,0,11,23,0,0,1,0,0,10,0.9,Suspicious,1
142,028febcfc86b639f,212,carrier_verizon,US-TX,2026-05-16T12:55:00,587,1,4,19,0,0,0,0,0,0,0,1,661,0.02,Safe,0
143,5df08c954bbf4aad,305,carrier_voip_001,US-FL,2026-05-13T20:34:00,0,0,40,395,1,30,129,0,0,1,0,0,8,1.0,High Risk,1
144,4d8c5275c7720902,888,carrier_tmobile,US-CA,2026-05-11T19:02:00,0,0,3,14,0,0,0,0,0,0,0,0,387,0.35,Safe,0
145,ed71895a1e272a0c,888,carrier_verizon,US-PA,2026-05-16T16:16:00,403,1,4,18,0,0,2,0,0,0,0,1,260,0.02,Safe,0
146,06f7f09a0db90d80,876,carrier_att,US-IL,2026-05-17T07:53:00,0,0,5,11,0,0,0,1,1,0,0,1,615,0.02,Safe,0
147,a07c3ef70037ce04,212,carrier_voip_002,US-IL,2026-05-16T06:00:00,0,0,23,85,1,13,17,0,0,1,0,0,17,1.0,Suspicious,1
148,813047c0ced1892f,876,carrier_verizon,US-OH,2026-05-08T12:39:00,113,1,2,17,0,0,1,1,0,0,0,0,243,0.15,Safe,0
149,c59606188b0c9aae,312,carrier_verizon,US-GA,2026-05-10T08:41:00,0,0,3,2,0,0,1,0,0,0,0,0,309,0.35,Safe,0
150,e3206a8e1597269e,305,carrier_att,US-IL,2026-05-17T07:14:00,354,1,4,15,0,0,0,1,1,0,0,1,504,0.02,Safe,0
151,1ed503d0260578cd,313,carrier_voip_002,US-GA,2026-05-13T08:19:00,0,0,60,428,1,51,124,0,0,0,0,0,3,1.0,High Risk,1
152,128fc31669b93444,614,carrier_tmobile,US-MI,2026-05-02T09:27:00,0,0,11,52,0,3,2,0,0,0,0,0,27,0.45,Unknown,0
153,daea3d6f9abbfb0d,312,carrier_voip_002,US-MI,2026-05-14T11:43:00,40,1,40,151,1,15,20,0,0,0,0,0,18,0.85,Suspicious,1
154,15d51252696b5b88,614,carrier_tmobile,US-FL,2026-05-04T08:00:00,339,1,1,2,0,0,0,1,1,0,0,0,217,0.0,Safe,0
155,6d48d362aa3a1a18,404,carrier_att,US-NY,2026-05-11T18:00:00,582,1,0,5,0,0,1,1,1,0,0,0,86,0.0,Safe,0
156,2ae26258bf912824,215,carrier_att,US-NY,2026-05-06T19:17:00,23,1,11,41,0,1,10,1,0,0,0,0,84,0.15,Unknown,0
157,56747fe84889e870,876,carrier_tmobile,US-MI,2026-05-13T16:28:00,420,1,1,20,0,0,1,1,1,0,0,1,371,0.02,Safe,0
158,996246b3a0e47e4d,614,carrier_verizon,US-NY,2026-05-11T18:17:00,517,1,2,19,0,0,2,1,1,0,0,0,386,0.0,Safe,0
159,0a67034c95524988,876,carrier_unknown,US-GA,2026-05-15T15:53:00,0,0,50,453,1,49,63,0,0,1,0,0,7,1.0,High Risk,1
160,05ddd3ce8a67d351,704,carrier_sprint,US-IL,2026-05-19T18:34:00,81,1,5,48,0,1,4,0,0,0,0,0,103,0.35,Unknown,0
161,e44c4cb3e6ac2a3b,312,carrier_sprint,US-IL,2026-05-19T18:48:00,0,0,21,187,0,12,30,0,0,1,0,0,24,0.9,Suspicious,1
162,66017357a9f289a1,404,carrier_verizon,US-NY,2026-05-12T06:30:00,489,1,1,16,0,0,2,1,1,0,0,0,516,0.0,Safe,0
163,f38dbc4df5911f7c,900,carrier_sprint,US-NY,2026-05-15T16:04:00,114,1,5,4,0,0,1,1,1,0,0,1,554,0.02,Safe,0
164,890efd6be9dc0d6d,800,carrier_verizon,US-CA,2026-05-11T19:29:00,580,1,2,20,0,0,0,1,1,0,0,0,309,0.0,Safe,0
165,e9f03658cdcb77dc,313,carrier_verizon,US-NY,2026-05-07T14:48:00,19,1,5,13,0,0,1,1,1,0,0,1,666,0.02,Safe,0
166,a7deba5da9a5589f,614,carrier_voip_001,US-PA,2026-05-13T18:37:00,0,0,27,97,1,8,20,0,0,0,0,0,18,0.75,Suspicious,1
167,ae1e4787acc1ec67,313,carrier_voip_001,US-GA,2026-05-05T22:24:00,52,1,13,48,0,0,10,1,0,0,0,0,85,0.15,Unknown,0
168,002e52cd10d06b2b,876,carrier_verizon,US-OH,2026-05-06T16:53:00,310,1,3,20,0,0,2,1,1,0,0,0,628,0.0,Safe,0
169,3244e0141e9e663c,900,carrier_voip_001,US-TX,2026-05-15T21:10:00,0,0,87,219,1,27,144,0,0,1,0,0,6,1.0,High Risk,1
170,9e603405c30c9d10,900,carrier_att,US-PA,2026-05-09T17:34:00,130,1,2,7,0,0,2,1,1,0,0,0,567,0.0,Safe,0
171,f33e64b7a5cf3a60,215,carrier_att,US-NY,2026-05-15T14:22:00,0,0,3,3,0,0,2,0,0,0,0,0,364,0.35,Safe,0
172,07b3839ff5cee0b9,704,carrier_unknown,US-FL,2026-05-07T12:51:00,0,0,17,103,0,15,33,0,0,0,0,0,23,0.55,Suspicious,1
173,e8ef7095ec432ca6,212,carrier_voip_001,US-FL,2026-05-04T10:48:00,0,0,5,51,0,2,4,0,0,0,0,0,138,0.35,Unknown,0
174,a578e871e7f145e7,215,carrier_unknown,US-NY,2026-05-19T14:40:00,0,0,14,83,0,6,14,0,0,0,0,0,24,0.45,Suspicious,1
175,ede7bd76a695e362,888,carrier_tmobile,US-PA,2026-05-19T06:55:00,67,1,15,21,0,3,8,0,0,0,0,0,101,0.45,Unknown,0
